"No.","Time","Source","Destination","Protocol","Length","Info"
"105861","2016-09-27 04:22:17.036454","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"105892","2016-09-27 04:22:22.043200","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"105914","2016-09-27 04:22:26.840328","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"105918","2016-09-27 04:22:27.093824","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7463 Ack=7265 Win=27744 Len=0"
"105923","2016-09-27 04:22:28.606850","192.168.1.240","107.170.224.8","NTP","90","NTP Version 4, client"
"105939","2016-09-27 04:22:32.054960","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"105956","2016-09-27 04:22:35.535414","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"105977","2016-09-27 04:22:41.773768","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"105979","2016-09-27 04:22:41.992825","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"105987","2016-09-27 04:22:44.061173","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106021","2016-09-27 04:22:50.468804","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"106029","2016-09-27 04:22:51.468766","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"106051","2016-09-27 04:22:56.813507","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7463 Ack=7306 Win=27744 Len=0"
"106052","2016-09-27 04:22:56.813616","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106079","2016-09-27 04:23:01.816587","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106084","2016-09-27 04:23:02.565193","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106119","2016-09-27 04:23:11.088732","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106195","2016-09-27 04:23:26.844308","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106201","2016-09-27 04:23:27.550675","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7545 Ack=7347 Win=27744 Len=0"
"106208","2016-09-27 04:23:29.588154","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106222","2016-09-27 04:23:32.070314","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106233","2016-09-27 04:23:35.194212","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"106242","2016-09-27 04:23:36.411771","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"106250","2016-09-27 04:23:38.113831","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106359","2016-09-27 04:23:56.616341","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106361","2016-09-27 04:23:56.813155","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7545 Ack=7388 Win=27744 Len=0"
"106362","2016-09-27 04:23:56.813272","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106384","2016-09-27 04:24:01.816415","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106402","2016-09-27 04:24:05.141782","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106469","2016-09-27 04:24:23.640582","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106485","2016-09-27 04:24:26.842352","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106488","2016-09-27 04:24:27.093493","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7627 Ack=7429 Win=27744 Len=0"
"106495","2016-09-27 04:24:28.610080","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"106509","2016-09-27 04:24:30.830302","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"106515","2016-09-27 04:24:32.050610","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106516","2016-09-27 04:24:32.167836","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106593","2016-09-27 04:24:50.667836","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106614","2016-09-27 04:24:55.683280","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"106623","2016-09-27 04:24:56.820189","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7627 Ack=7470 Win=27744 Len=0"
"106624","2016-09-27 04:24:56.820739","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106633","2016-09-27 04:24:59.195363","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106650","2016-09-27 04:25:01.812249","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106711","2016-09-27 04:25:17.702802","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106720","2016-09-27 04:25:20.031942","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"106738","2016-09-27 04:25:22.714344","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"106744","2016-09-27 04:25:24.262990","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"106754","2016-09-27 04:25:26.220732","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106760","2016-09-27 04:25:26.851997","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106764","2016-09-27 04:25:27.101044","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7709 Ack=7511 Win=27744 Len=0"
"106787","2016-09-27 04:25:32.065830","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106792","2016-09-27 04:25:33.422444","192.168.1.240","138.236.128.36","NTP","90","NTP Version 4, client"
"106839","2016-09-27 04:25:44.726999","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106849","2016-09-27 04:25:49.745548","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"106881","2016-09-27 04:25:53.243509","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"106912","2016-09-27 04:25:56.816855","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7709 Ack=7552 Win=27744 Len=0"
"106913","2016-09-27 04:25:56.816974","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"106951","2016-09-27 04:26:01.819909","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"106988","2016-09-27 04:26:11.753735","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"106996","2016-09-27 04:26:14.664811","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"107030","2016-09-27 04:26:17.903225","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"107038","2016-09-27 04:26:19.682874","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"107044","2016-09-27 04:26:20.269795","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107074","2016-09-27 04:26:26.845511","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107078","2016-09-27 04:26:27.096919","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7791 Ack=7593 Win=27744 Len=0"
"107102","2016-09-27 04:26:32.061916","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"107141","2016-09-27 04:26:38.780702","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107176","2016-09-27 04:26:47.303464","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107204","2016-09-27 04:26:52.627869","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107205)"
"107206","2016-09-27 04:26:52.632624","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107207)"
"107208","2016-09-27 04:26:52.636664","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107209)"
"107210","2016-09-27 04:26:52.640122","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107211)"
"107212","2016-09-27 04:26:52.643926","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107213)"
"107214","2016-09-27 04:26:52.648379","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107215)"
"107216","2016-09-27 04:26:52.651905","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107217)"
"107218","2016-09-27 04:26:52.656281","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107219)"
"107220","2016-09-27 04:26:52.659619","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107221)"
"107222","2016-09-27 04:26:52.663736","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107223)"
"107224","2016-09-27 04:26:52.669037","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107225)"
"107226","2016-09-27 04:26:52.675604","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107227)"
"107228","2016-09-27 04:26:52.679314","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107229)"
"107230","2016-09-27 04:26:52.688416","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107231)"
"107232","2016-09-27 04:26:52.700744","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107233)"
"107234","2016-09-27 04:26:52.712922","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107235)"
"107236","2016-09-27 04:26:52.722481","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107237)"
"107238","2016-09-27 04:26:52.725985","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107239)"
"107240","2016-09-27 04:26:52.730140","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107241)"
"107242","2016-09-27 04:26:52.734302","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=26112/102, ttl=64 (reply in 107243)"
"107245","2016-09-27 04:26:52.741924","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x750b A www.example.com"
"107246","2016-09-27 04:26:52.742095","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x5d11 AAAA www.example.com"
"107249","2016-09-27 04:26:52.762264","192.168.1.240","93.184.216.34","TCP","74","54409  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=56697748 TSecr=0 WS=16"
"107252","2016-09-27 04:26:52.917483","192.168.1.240","93.184.216.34","TCP","66","54409  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697788 TSecr=2680460379"
"107253","2016-09-27 04:26:52.918922","192.168.1.240","93.184.216.34","TCP","66","54409  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697788 TSecr=2680460379"
"107254","2016-09-27 04:26:52.920094","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x3f53 A www.example.net"
"107255","2016-09-27 04:26:52.920264","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xf0a0 AAAA www.example.net"
"107258","2016-09-27 04:26:52.935579","192.168.1.240","93.184.216.34","TCP","74","54410  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=56697792 TSecr=0 WS=16"
"107261","2016-09-27 04:26:53.070644","192.168.1.240","93.184.216.34","TCP","66","54409  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=56697827 TSecr=2680460418"
"107263","2016-09-27 04:26:53.081782","192.168.1.240","93.184.216.34","TCP","66","54410  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697830 TSecr=2659242495"
"107264","2016-09-27 04:26:53.081901","192.168.1.240","93.184.216.34","TCP","66","54410  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697830 TSecr=2659242495"
"107265","2016-09-27 04:26:53.084184","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x4f13 A www.example.org"
"107266","2016-09-27 04:26:53.084347","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xf220 AAAA www.example.org"
"107269","2016-09-27 04:26:53.099497","192.168.1.240","93.184.216.34","TCP","74","54411  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=56697834 TSecr=0 WS=16"
"107271","2016-09-27 04:26:53.234217","192.168.1.240","93.184.216.34","TCP","66","54410  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=56697869 TSecr=2659242532"
"107273","2016-09-27 04:26:53.245513","192.168.1.240","93.184.216.34","TCP","66","54411  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697872 TSecr=1741381468"
"107274","2016-09-27 04:26:53.245630","192.168.1.240","93.184.216.34","TCP","66","54411  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56697872 TSecr=1741381468"
"107276","2016-09-27 04:26:53.397974","192.168.1.240","93.184.216.34","TCP","66","54411  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=56697911 TSecr=1741381505"
"107291","2016-09-27 04:26:56.819837","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7791 Ack=7634 Win=27744 Len=0"
"107292","2016-09-27 04:26:56.820387","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107323","2016-09-27 04:27:01.819637","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"107343","2016-09-27 04:27:04.103529","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"107351","2016-09-27 04:27:05.808017","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107380","2016-09-27 04:27:10.334271","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"107416","2016-09-27 04:27:14.320028","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107439","2016-09-27 04:27:19.338951","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"107468","2016-09-27 04:27:26.847045","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107471","2016-09-27 04:27:27.098779","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7873 Ack=7675 Win=27744 Len=0"
"107506","2016-09-27 04:27:32.832145","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107579","2016-09-27 04:27:41.346975","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107631","2016-09-27 04:27:55.525395","192.168.1.240","107.170.224.8","NTP","90","NTP Version 4, client"
"107639","2016-09-27 04:27:57.088307","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107642","2016-09-27 04:27:57.272683","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7914 Ack=7716 Win=27744 Len=0"
"107643","2016-09-27 04:27:57.273215","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107647","2016-09-27 04:27:57.522408","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7955 Ack=7757 Win=27744 Len=0"
"107648","2016-09-27 04:27:57.693473","192.168.1.240","206.108.0.132","NTP","90","NTP Version 4, client"
"107664","2016-09-27 04:27:59.859713","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107671","2016-09-27 04:28:00.682905","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"107676","2016-09-27 04:28:01.922798","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"107710","2016-09-27 04:28:08.371953","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107774","2016-09-27 04:28:26.886302","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107776","2016-09-27 04:28:27.513396","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"107780","2016-09-27 04:28:27.729901","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7996 Ack=7798 Win=27744 Len=0"
"107802","2016-09-27 04:28:32.733992","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"107815","2016-09-27 04:28:35.399461","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"107969","2016-09-27 04:28:53.913542","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107988","2016-09-27 04:28:57.272354","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=7996 Ack=7839 Win=27744 Len=0"
"107989","2016-09-27 04:28:57.273149","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108013","2016-09-27 04:29:02.427381","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108024","2016-09-27 04:29:04.911481","AmazonTe_56:cc:d3","Tp-LinkT_51:33:e9","EAPOL","113","Key (Group Message 2 of 2)"
"108116","2016-09-27 04:29:20.942270","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108152","2016-09-27 04:29:27.303249","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108159","2016-09-27 04:29:27.557423","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8078 Ack=7880 Win=27744 Len=0"
"108179","2016-09-27 04:29:29.451906","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108198","2016-09-27 04:29:32.510592","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"108297","2016-09-27 04:29:47.967953","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108339","2016-09-27 04:29:56.478446","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108341","2016-09-27 04:29:56.812157","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8078 Ack=7921 Win=27744 Len=0"
"108342","2016-09-27 04:29:56.812266","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108429","2016-09-27 04:30:14.995819","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108462","2016-09-27 04:30:23.501748","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108473","2016-09-27 04:30:26.835168","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108477","2016-09-27 04:30:27.104730","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8160 Ack=7962 Win=27744 Len=0"
"108490","2016-09-27 04:30:32.084599","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"108570","2016-09-27 04:30:42.023791","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108643","2016-09-27 04:30:50.528919","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108664","2016-09-27 04:30:56.175319","192.168.1.240","138.236.128.36","NTP","90","NTP Version 4, client"
"108669","2016-09-27 04:30:57.074994","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108671","2016-09-27 04:30:57.279940","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8201 Ack=8003 Win=27744 Len=0"
"108672","2016-09-27 04:30:57.280438","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108677","2016-09-27 04:30:57.529596","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8242 Ack=8044 Win=27744 Len=0"
"108700","2016-09-27 04:31:02.283762","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"108723","2016-09-27 04:31:09.050290","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108755","2016-09-27 04:31:17.553372","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108802","2016-09-27 04:31:27.518293","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"108805","2016-09-27 04:31:27.729257","192.168.1.240","54.239.29.231","TCP","54","52728  >  443 [ACK] Seq=8283 Ack=8085 Win=27744 Len=0"
"108829","2016-09-27 04:31:32.734334","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"108854","2016-09-27 04:31:36.074778","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"108948","2016-09-27 04:31:44.580601","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"108989","2016-09-27 04:31:52.627181","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 108990)"
"108991","2016-09-27 04:31:52.632479","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 108992)"
"108993","2016-09-27 04:31:52.635435","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 108994)"
"108995","2016-09-27 04:31:52.639338","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 108996)"
"108997","2016-09-27 04:31:52.643227","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 108998)"
"108999","2016-09-27 04:31:52.648226","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109000)"
"109001","2016-09-27 04:31:52.651072","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109002)"
"109003","2016-09-27 04:31:52.654860","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109004)"
"109005","2016-09-27 04:31:52.658711","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109006)"
"109007","2016-09-27 04:31:52.662740","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109008)"
"109009","2016-09-27 04:31:52.667593","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109010)"
"109011","2016-09-27 04:31:52.670497","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109012)"
"109013","2016-09-27 04:31:52.674271","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109014)"
"109015","2016-09-27 04:31:52.678325","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109016)"
"109017","2016-09-27 04:31:52.682465","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109018)"
"109019","2016-09-27 04:31:52.687439","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109020)"
"109021","2016-09-27 04:31:52.694428","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109022)"
"109023","2016-09-27 04:31:52.697945","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109024)"
"109025","2016-09-27 04:31:52.702556","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109026)"
"109027","2016-09-27 04:31:52.705748","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=19998/7758, ttl=64 (reply in 109028)"
"109029","2016-09-27 04:31:52.716214","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xdeb6 A www.example.com"
"109030","2016-09-27 04:31:52.716390","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x2e68 AAAA www.example.com"
"109034","2016-09-27 04:31:52.751354","192.168.1.240","93.184.216.34","TCP","74","49782  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=56774545 TSecr=0 WS=16"
"109036","2016-09-27 04:31:52.900896","192.168.1.240","93.184.216.34","TCP","66","49782  >  80 [ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56774584 TSecr=2198818110"
"109037","2016-09-27 04:31:52.901449","192.168.1.240","93.184.216.34","TCP","66","49782  >  80 [FIN, ACK] Seq=1 Ack=1 Win=4384 Len=0 TSval=56774584 TSecr=2198818110"
"109038","2016-09-27 04:31:52.903529","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xa762 A www.example.net"
"109039","2016-09-27 04:31:52.903682","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xa2bf AAAA www.example.net"
"109042","2016-09-27 04:31:52.930566","192.168.1.240","93.184.216.34","TCP","74","49783  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=56774591 TSecr=0 WS=16"
"109044","2016-09-27 04:31:53.054118","192.168.1.240","93.184.216.34","TCP","66","49782  >  80 [ACK] Seq=2 Ack=2 Win=4384 Len=0 TSval=56774623 TSecr=2198818148"
